Title,Genre
"Frostbite (Vampire Academy, #2)",Paranormal
"CLUB DE LAS 5 DE LA MAÑANA, EL","Psychology,Business,Philosophy,Self Help"
The Case for Keto: Rethinking Weight Control and the Science and Practice of Low-Carb/High-Fat Eating,Cookbooks
"Get a Life, Chloe Brown (The Brown Sisters, #1)",Romance
Ottolenghi Simple: A Cookbook,Cookbooks
Where Ivy Dares to Grow,"Fantasy,Romance,Historical Fiction"
A House with Good Bones,"Fantasy,Paranormal"
Better Off Wed,Chick Lit
"Lover Revealed (Black Dagger Brotherhood, #4)",Paranormal
"The Cottage Fairy Companion: ﻿A Cottagecore Guide to Slow Living, Connecting to Nature, and Becoming Enchanted Again",Poetry
The King of the Spoil,Science Fiction
"Chain of Gold (The Last Hours, #1)",Young Adult
Faith Still Moves Mountains: Miraculous Stories of the Healing Power of Prayer,Spirituality
Poison for Breakfast,Philosophy
鬼滅の刃 1 [Kimetsu no Yaiba 1],Manga
White Fragility: Why It’s So Hard for White People to Talk About Racism,Psychology
Elinor Wonders Why: How to Carry a Cupcake,Childrens
"The Long Call (Two Rivers, #1)",LGBT
Crossroads,Religion
The House by the Sea,Historical Fiction
Flags on the Bayou,"Fiction,History,Mystery,Historical Fiction"
Murder at the Vicarage,"Crime,Classics,Mystery"
Cravings: Hungry for More,Cookbooks
Song of My Softening,Poetry
Real Food for Pregnancy: The Science and Wisdom of Optimal Prenatal Nutrition,Cookbooks
Let the Right One In,Horror
"The Sullivanians: Sex, Psychotherapy, and the Wild Life of an American Commune","Psychology,History,Nonfiction"
Later,"Paranormal,Horror"
Gentle and Lowly: The Heart of Christ for Sinners and Sufferers,"Religion,Christian"
A Castle in Brooklyn,History
Apples Never Fall,"Fiction,Contemporary,Thriller,Mystery"
"Exiles (Aaron Falk, #3)","Crime,Mystery"
The Midnight Library,"Fantasy,Science Fiction,Contemporary,Fiction"
"Dark Corners (Rachel Krall, #2)","Fiction,Crime,Contemporary,Suspense"
"薬屋のひとりごと 3 [Kusuriya no Hitorigoto 3] (The Apothecary Diaries [Nekokurage], #3)",Manga
Straight Dad (Fixer Brothers Construction Co Book 2),Sports
Primer 1,Art
"The Hobbit (The Lord of the Rings, #0)","Fantasy,Classics,Fiction"
Charlotte's Web,Childrens
"Sempiterno (Extraños, #2)",Art
チェンソーマン 2 [Chainsaw Man 2],Manga
"Remember Me (Pictures of the Heart, #1)",Christian
Something Wicked This Way Comes,Horror
The House of Doors,LGBT
"Rich Dad, Poor Dad","Business,Self Help"
The Keeper of Stories,"Contemporary,Romance,Mystery,Chick Lit"
We Are All So Good at Smiling,Poetry
"Look for Me There: Grieving My Father, Finding Myself","Memoir,Nonfiction,Travel,Biography"
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Cookbooks
"Gideon the Ninth (The Locked Tomb, #1)",LGBT
Glorious Rock Bottom,Biography
Effortless: Make It Easier to Do What Matters Most,"Business,Philosophy"
Made for Romeo (Made For #4),Sports
"Black Butler, Vol. 1 (Black Butler, #1)",Manga
"The Selection (The Selection, #1)","Romance,Young Adult"
Digital Fortress,"Suspense,Thriller"
The Tipping Point: How Little Things Can Make a Big Difference,"Psychology,Business,Nonfiction"
Rules of Engagement,Sports
Dinners with Ruth: A Memoir on the Power of Friendships,"History,Nonfiction"
The Shadow Sister,"Horror,Young Adult"
Getting Things Done: The Art of Stress-Free Productivity,"Business,Self Help"
Alchemy of a Blackbird,"Historical Fiction,Art"
Combats et métamorphoses d&#39;une femme,Nonfiction
"My Happy Marriage, Vol. 1 (My Happy Marriage Light Novel, #1)","Fantasy,Manga"
The Connellys of County Down,Contemporary
The Stories We Tell: Every Piece of Your Story Matters,"Christian,Self Help,Biography"
"Attack on Titan, Vol. 2 (Attack on Titan, #2)",Manga
All That’s Left to Say,"Suspense,Thriller,Young Adult"
"Running Wild (Wild, #3)",Sports
Holy Moments: A handbook for the rest of your life,"Religion,Spirituality,Christian"
Chronicles: Volume One,Music
"Pucked (Pucked, #1)",Sports
Understanding Comics: The Invisible Art,Art
The Waste Land,Poetry
The Fault in Our Stars,"Fiction,Contemporary,Romance,Young Adult"
鴨乃橋ロンの禁断推理 11 [Kamonohashi Ron no Kindan Suiri 11],Manga
Jesus and John Wayne: How White Evangelicals Corrupted a Faith and Fractured a Nation,"Religion,Spirituality,Christian"
"Simply Living Well: A Guide to Creating a Natural, Low-Waste Home",Cookbooks
Muscle: The Gripping Story of Strength and Movement,Science
The Memory of Animals,Science Fiction
Yumi y el pintor de pesadillas,"Fantasy,Science Fiction,Romance,Fiction"
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,"Nonfiction,Self Help"
"Marked (House of Night, #1)",Paranormal
The Comfort Book,"Psychology,Philosophy,Nonfiction,Self Help"
"Second Foundation (Foundation, #3)","Classics,Science Fiction"
Small Mercies,"Suspense,Crime,Thriller,Historical Fiction"
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",Religion
The Next Person You Meet in Heaven,"Religion,Philosophy,Spirituality,Christian"
"Lethal White (Cormoran Strike, #4)",Crime
The Endless Vessel,"Fantasy,Science Fiction"
The Good Girl (English Edition),Suspense
Love the One You're With,Chick Lit
"A Good Girl&#39;s Guide to Murder (A Good Girl&#39;s Guide to Murder, #1)",Thriller
"Last Sacrifice (Vampire Academy, #6)",Paranormal
Kristy and the Snobs,Graphic Novels
Under the Tuscan Sun: At Home in Italy,Travel
Essentialism: The Disciplined Pursuit of Less,Self Help
Stranger in a Strange Land,Science Fiction
The Sandman Vol. 4: Season of Mists,"Graphic Novels,Comics"
Wild Things,LGBT
Crazy Love: Overwhelmed by a Relentless God,Christian
"One Fish, Two Fish, Red Fish, Blue Fish",Childrens
I Do Everything I&#39;m Told,Poetry
Seven Brief Lessons on Physics,Science
Pageboy,"Memoir,Nonfiction,LGBT"
Don&#39;t Let Her Stay,"Fiction,Suspense,Horror,Thriller"
I Meant It Once,"Fiction,Contemporary"
Half Baked Harvest Cookbook: Recipes from My Barn in the Mountains,Cookbooks
Dragons in the Wind the Complete Series,Paranormal
Batman: Hush,Comics
"Wayside School Beneath the Cloud of Doom (Wayside School, #4)",Childrens
Atlas Obscura: An Explorer's Guide to the World's Hidden Wonders,Travel
The Salt Path,Memoir
Tao Te Ching,"Religion,Philosophy,Spirituality"
Light from Uncommon Stars,"Music,LGBT"
Nazi Billionaires: The Dark History of Germany&#39;s Wealthiest Dynasties,Business
The London Girls,Historical Fiction
Under the Eye of Power: How Fear of Secret Societies Shapes American Democracy,History
A Distant Mirror:  The Calamitous 14th Century,History
"The Honeymoon Crashers (Unhoneymooners, #1.5)","Fiction,Humor,Romance,Chick Lit"
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",History
Cell,Horror
"Horror Library, Volume 8",Horror
The Gene: An Intimate History,Science
The Emperor of All Maladies: A Biography of Cancer,Science
The Premonitions Bureau: A True Account of Death Foretold,"Spirituality,Science,Biography"
Into the Bright Sunshine: Young Hubert Humphrey and the Fight for Civil Rights,"History,Nonfiction,Biography"
Lives of the Stoics: The Art of Living from Zeno to Marcus Aurelius,Spirituality
You&#39;re Not Listening: What You&#39;re Missing and Why It Matters,"Business,Science"
Rita Hayworth and Shawshank Redemption,Classics
The Rest Is Noise: Listening to the Twentieth Century,Music
In the Wild Light,Poetry
This is Where We Talk Things Out,LGBT
Only Good Enemies (Galactic Bonds #2),"Fantasy,Science Fiction"
Notre-Dame: A Short History of the Meaning of Cathedrals,Religion
La Petite Dernière,Religion
Everything I Know About Love,"Memoir,Romance"
"The Color of Magic (Discworld, #1; Rincewind, #1)",Humor
"You Can&#39;t Joke About That: Why Everything Is Funny, Nothing Is Sacred, and We&#39;re All in This Together","Nonfiction,Biography"
"Paper Girls, Volume 4",Comics
Dining In: Highly Cookable Recipes,Cookbooks
Trillion,Business
"The Handmaid’s Tale (The Handmaid's Tale, #1)","Fiction,Science Fiction"
Desire of my Heart (Shumard Oak Bend #1),Christian
When Things Fall Apart: Heart Advice for Difficult Times,Spirituality
Maybe You Should Talk to Someone,"Psychology,Memoir,Self Help"
"The Bad Beginning (A Series of Unfortunate Events, #1)",Childrens
Switchboard Soldiers,History
None of This Rocks: A Memoir,Music
